NEIGHBOURHOOD_158,REPORT_YEAR,REPORT_MONTH,TotalCrimeScore,Crime_Count,x,y,NSI,Prev_Month_NSI,NSI_3M_Avg
1,2018,9,107,28,-8823474.242184537,5432689.039582735,0.778705636743215,0.778705636743215,0.8552540013917884
1,2018,10,126,38,-8823964.95583085,5432575.727513542,0.7390396659707724,0.778705636743215,0.8183716075156576
1,2018,11,98,26,-8824121.144881416,5432623.762153015,0.7974947807933195,0.7390396659707724,0.7654836464857341
1,2018,12,56,17,-8824197.366654463,5432491.721512108,0.8851774530271399,0.7974947807933195,0.7717466945024357
1,2019,1,102,29,-8823899.253164247,5432607.098665516,0.7891440501043842,0.8851774530271399,0.8072372999304106
1,2019,2,89,27,-8823588.298860373,5432665.227806641,0.8162839248434238,0.7891440501043842,0.8239387613082813
1,2019,3,104,30,-8824164.842327954,5432429.048090449,0.7849686847599164,0.8162839248434238,0.8302018093249827
1,2019,4,90,29,-8823219.141395746,5432880.710103341,0.8141962421711899,0.7849686847599164,0.7967988865692415
1,2019,5,102,30,-8823507.448158626,5432508.652970937,0.7891440501043842,0.8141962421711899,0.8051496172581767
1,2019,6,87,29,-8823900.991901757,5432816.5683476245,0.8204592901878914,0.7891440501043842,0.7961029923451634
1,2019,7,89,27,-8822647.12000803,5432663.483475177,0.8162839248434238,0.8204592901878914,0.8079331941544884
1,2019,8,85,25,-8823740.86455972,5432657.696843138,0.824634655532359,0.8162839248434238,0.8086290883785665
1,2019,9,74,24,-8824134.525193783,5432288.847538962,0.8475991649269311,0.824634655532359,0.8204592901878914
1,2019,10,100,29,-8824135.89664447,5432717.966369388,0.7933194154488518,0.8475991649269311,0.8295059151009045
1,2019,11,60,19,-8823501.841796007,5433049.469054047,0.8768267223382046,0.7933194154488518,0.8218510786360472
1,2019,12,73,24,-8823687.4150463,5432616.004802044,0.8496868475991649,0.8768267223382046,0.8392484342379958
1,2020,1,82,22,-8824528.458454402,5432437.751745986,0.8308977035490606,0.8496868475991649,0.8399443284620737
1,2020,2,81,24,-8823908.854996374,5432718.65843697,0.8329853862212944,0.8308977035490606,0.8524704244954767
1,2020,3,53,16,-8824589.6928756,5433059.394689642,0.8914405010438413,0.8329853862212944,0.8378566457898399
1,2020,4,40,13,-8825022.84658615,5432409.272795815,0.918580375782881,0.8914405010438413,0.8517745302713987
1,2020,5,56,17,-8823102.55964408,5432637.595463212,0.8851774530271399,0.918580375782881,0.8810020876826723
1,2020,6,74,22,-8823162.36484576,5432668.478547159,0.8475991649269311,0.8851774530271399,0.8983994432846208
1,2020,7,92,31,-8822926.422384895,5432778.054147967,0.8100208768267223,0.8475991649269311,0.883785664578984
1,2020,8,105,29,-8824372.24720089,5431935.553123226,0.7828810020876826,0.8100208768267223,0.8475991649269311
1,2020,9,94,31,-8824397.343582503,5432096.428259963,0.8058455114822547,0.7828810020876826,0.813500347947112
1,2020,10,115,34,-8823952.221795613,5432148.078661243,0.7620041753653445,0.8058455114822547,0.7995824634655532
1,2020,11,87,27,-8823706.79974468,5432398.671239376,0.8204592901878914,0.7620041753653445,0.7835768963117605
1,2020,12,99,32,-8824343.690733276,5432178.034580291,0.7954070981210856,0.8204592901878914,0.7961029923451636
1,2021,1,115,33,-8824418.884174926,5432045.168605281,0.7620041753653445,0.7954070981210856,0.7926235212247739
1,2021,2,52,17,-8823843.909217792,5432180.877173558,0.8935281837160751,0.7620041753653445,0.7926235212247738
1,2021,3,97,29,-8823681.759308107,5432099.184945517,0.7995824634655533,0.8935281837160751,0.8169798190675017
1,2021,4,80,19,-8824741.871629989,5431928.297075284,0.8350730688935282,0.7995824634655533,0.8183716075156576
1,2021,5,58,15,-8824341.02372306,5431865.532953161,0.8810020876826722,0.8350730688935282,0.8427279053583856
1,2021,6,40,11,-8825628.429107768,5431184.177561026,0.918580375782881,0.8810020876826722,0.8385525400139179
1,2021,7,92,27,-8824384.69446567,5432079.975872177,0.8100208768267223,0.918580375782881,0.8782185107863604
1,2021,8,109,30,-8824175.44399551,5432158.470449492,0.7745302713987474,0.8100208768267223,0.8698677800974252
1,2021,9,65,19,-8823836.216761475,5432081.17944809,0.8663883089770354,0.7745302713987474,0.8343771746694503
1,2021,10,77,22,-8824115.6730567,5432357.889085251,0.8413361169102296,0.8663883089770354,0.8169798190675017
1,2021,11,69,19,-8823771.056864262,5432423.891747919,0.8580375782881002,0.8413361169102296,0.8274182324286707
1,2021,12,65,19,-8824975.103229444,5431749.649000637,0.8663883089770354,0.8580375782881002,0.8552540013917884
1,2022,1,61,19,-8823941.316902626,5432151.610789758,0.8747390396659708,0.8663883089770354,0.8552540013917884
1,2022,2,51,14,-8825115.925257841,5431632.485757902,0.8956158663883089,0.8747390396659708,0.8663883089770356
1,2022,3,133,39,-8824153.067529367,5432230.068776506,0.7244258872651357,0.8956158663883089,0.8789144050104384
1,2022,4,87,24,-8823336.299165187,5432379.02456464,0.8204592901878914,0.7244258872651357,0.8315935977731385
1,2022,5,84,25,-8823772.29222938,5432538.205359595,0.826722338204593,0.8204592901878914,0.813500347947112
1,2022,6,101,32,-8823191.42330677,5432659.598129888,0.791231732776618,0.826722338204593,0.7905358385525401
1,2022,7,113,35,-8824252.298804441,5432483.425730717,0.7661795407098121,0.791231732776618,0.8128044537230341
1,2022,8,89,26,-8824801.125943264,5432516.177096258,0.8162839248434238,0.7661795407098121,0.7947112038970077
1,2022,9,114,30,-8824348.601600733,5432068.939322713,0.7640918580375783,0.8162839248434238,0.7912317327766178
1,2022,10,143,44,-8824542.652802674,5432307.049710163,0.7035490605427974,0.7640918580375783,0.7821851078636047
